"d","occupancy_pattern","query_regime","regret","max_abs_error","pbar_hat","pbar_actual","selected_time","oracle_time","selector_accuracy","n_configs"
4,"clustered","observation_like",1,1.73472347597681e-18,13.46,13.218,0.000219999999999345,0.000199999999999818,0.8,5
4,"clustered","random_grid",1,1.0842021724855e-19,8.7,8.716,0.0002800000000002,0.000260000000000673,0.6,5
4,"uniform","observation_like",1,1.0842021724855e-19,14.42,14.452,0.00024,0.000219999999999998,0.6,5
4,"uniform","random_grid",1,0,11.88,12.046,0.000200000000002092,0.000200000000002092,1,5
6,"clustered","observation_like",1,1.0842021724855e-19,34.08,35.482,0.000680000000000014,0.000680000000000014,1,5
6,"clustered","random_grid",1,1.35525271560688e-20,24.98,24.196,0.000480000000002292,0.000480000000002292,0.8,5
6,"uniform","observation_like",1,2.71050543121376e-20,34.74,35.754,0.00048,0.00048,1,5
6,"uniform","random_grid",1,0,34.16,33.144,0.00043999999999869,0.00043999999999869,1,5
8,"clustered","observation_like",1,5.42101086242752e-20,56.32,58.78,0.000700000000006185,0.000700000000006185,1,5
8,"clustered","random_grid",1,1.35525271560688e-20,52.74,54.362,0.000799999999992451,0.000799999999992451,1,5
8,"uniform","observation_like",1,6.7762635780344e-21,73.4,73.462,0.000699999999999967,0.000699999999999967,1,5
8,"uniform","random_grid",1,1.35525271560688e-20,78.96,70.312,0.000700000000006185,0.000700000000006185,0.8,5
10,"clustered","observation_like",1,5.42101086242752e-20,116.38,116.894,0.00080000000000382,0.00080000000000382,1,5
10,"clustered","random_grid",1,1.35525271560688e-20,80.84,83.922,0.000999999999999091,0.000999999999999091,1,5
10,"uniform","observation_like",1,2.03287907341032e-20,125.54,125.198,0.000999999999999979,0.000999999999999979,1,5
10,"uniform","random_grid",1,1.35525271560688e-20,117.2,118.252,0.00119999999999436,0.00119999999999436,1,5
12,"clustered","observation_like",1,3.3881317890172e-21,296.42,282.418,0.00499999999999545,0.00499999999999545,1,5
12,"clustered","random_grid",1,1.6940658945086e-21,229.86,225.764,0.00433333333334455,0.00433333333334455,1,5
12,"uniform","observation_like",1,1.27054942088145e-21,346.7,339.98,0.00633333333333338,0.00633333333333338,1,5
12,"uniform","random_grid",1,1.27054942088145e-21,316.98,325.542,0.0060000000000097,0.0060000000000097,1,5
