"d","occupancy_pattern","query_regime","speedup","R_cost","max_abs_error","pbar","sparse_prefix_time","direct_time","prediction_accuracy","n_configs"
4,"clustered","observation_like",1.18181818181826,0.879875,1.73472347597681e-18,13.678,0.000219999999999985,0.000259999999999998,1,5
4,"clustered","random_grid",1.29999999999915,0.6365,2.16840434497101e-19,9.784,0.000200000000000102,0.000259999999999962,1,5
4,"uniform","observation_like",1.15384615384617,0.885875,1.0842021724855e-19,13.774,0.000260000000000002,0.000379999999999994,1,5
4,"uniform","random_grid",1.22222222222209,0.754375,0,11.67,0.000180000000000007,0.000240000000000009,1,5
6,"clustered","observation_like",1.72727272727242,0.5755,1.0842021724855e-19,34.03,0.00044000000000004,0.000759999999999934,0.8,5
6,"clustered","random_grid",1.88888888888836,0.4295625,2.71050543121376e-20,24.69,0.000360000000000014,0.000679999999999836,1,5
6,"uniform","observation_like",1.33333333333332,0.5948125,2.71050543121376e-20,35.266,0.000600000000000005,0.000800000000000001,1,5
6,"uniform","random_grid",1.59999999999993,0.55646875,6.7762635780344e-21,32.812,0.000400000000000063,0.000679999999999978,1,5
8,"clustered","observation_like",3.49999999999967,0.2862890625,2.71050543121376e-20,68.05,0.00080000000000009,0.00280000000000005,1,5
8,"clustered","random_grid",4.16666666666627,0.21346875,2.71050543121376e-20,49.408,0.000600000000000023,0.00250000000000057,1,5
8,"uniform","observation_like",3.20000000000007,0.29646875,1.35525271560688e-20,70.656,0.000999999999999979,0.0032,0.8,5
8,"uniform","random_grid",3.71428571428492,0.285234375,1.35525271560688e-20,67.78,0.000700000000000145,0.00259999999999998,0.8,5
10,"clustered","observation_like",11.7999999999984,0.1231953125,2.71050543121376e-20,120.252,0.00100000000000016,0.0118000000000002,1,5
10,"clustered","random_grid",13.999999999984,0.0896484375,1.35525271560688e-20,85.9,0.000800000000000978,0.0114000000000004,1,5
10,"uniform","observation_like",11.428571428572,0.12278515625,1.35525271560688e-20,119.832,0.00139999999999993,0.0146000000000001,1,5
10,"uniform","random_grid",11.6000000000023,0.118251953125,1.35525271560688e-20,115.19,0.000999999999999801,0.0116,1,5
12,"clustered","observation_like",10.9444444444441,0.07244140625,3.3881317890172e-21,257.986,0.00600000000000023,0.065666666666667,1,5
12,"clustered","random_grid",12.466666666666,0.06370166015625,8.470329472543e-22,197.154,0.00500000000000019,0.0623333333333325,1,5
12,"uniform","observation_like",8.49999999999999,0.09869921875,2.5410988417629e-21,340.504,0.0106666666666667,0.0796666666666666,1,5
12,"uniform","random_grid",9.90000000000023,0.09768115234375,1.6940658945086e-21,336.334,0.00666666666666652,0.0660000000000001,1,5
